timepoint,eeg_feature,geneset,pvalue,es,ranks,nfeatures,q₀,qₜ,qᵧ
12m,peak_latency_P1_corrected,Propionate degradation,0.0148,0.4736989848061593,"[146792, 335689, 391903, 398246, 578857, 670643, 678007, 702229]",733858,0.1436470588235294,0.08436,0.0888
6m,peak_amp_P1_corrected,Inositol degradation,0.0156,0.47495962738728403,"[53091, 53203, 99044, 99552, 153626, 374841, 613277, 631838]",641532,0.1470857142857143,0.1539,0.0648
6m,peak_latency_N2_corrected,Inositol degradation,0.017,0.467770496505197,"[19515, 170392, 201663, 201907, 329358, 342428, 344035, 603642]",641532,0.1534054054054054,0.1539,0.0648
12m,peak_latency_N2_corrected,Glutamate synthesis,0.0172,-0.1881617719296224,"[3508, 9267, 9582, 9636, 10549, 17233, 25950, 26769, 33378, 111019, 117307, 135508, 150535, 150689, 176424, 177730, 179409, 199200, 201645, 210244, 234125, 268259, 273170, 275800, 281022, 290209, 294782, 299469, 339953, 356236, 364925, 389628, 425556, 427875, 433770, 441106, 443468, 448833, 456519, 458820, 478827, 480823, 581825, 582093, 585864, 607586, 623796, 624816, 636020, 641963, 662536, 670645, 708639, 726109, 728548]",733858,0.1534054054054054,0.093024,0.0516
3m,peak_amp_N2_corrected,Quinolinic acid synthesis,0.0216,0.31649064215429984,"[1059, 46554, 48858, 77404, 77759, 154093, 207430, 222285, 237086, 271848, 300958, 304991, 305857, 371620, 371666, 389780, 402764, 428594, 445006]",572522,0.15495652173913044,0.3382604651162791,0.2268
6m,peak_latency_P1_corrected,Isovaleric acid synthesis,0.0214,-0.2508961309450699,"[16617, 24664, 60948, 95890, 111609, 154816, 160549, 195878, 204017, 212081, 256071, 258951, 259398, 270093, 270438, 270532, 337833, 428312, 461630, 478587, 503569, 509941, 531992, 546297, 560213, 563241, 594057, 599180, 603872]",641532,0.15495652173913044,0.1539,0.30623999999999996
6m,peak_amp_N1,Inositol degradation,0.0216,-0.46244645562753695,"[30673, 269478, 317781, 318126, 517143, 534676, 536277, 630950]",641532,0.15495652173913044,0.1539,0.0648
6m,peak_amp_P1_corrected,Glutamate degradation,0.021,0.3320470572830607,"[76773, 79774, 98810, 106666, 213687, 273940, 299835, 367122, 397455, 414107, 416769, 416818, 503323, 584137, 609739, 612520]",641532,0.15495652173913044,0.1539,0.126
6m,peak_amp_P1_corrected,Butyrate synthesis,0.0196,0.29330774196723497,"[53878, 93674, 94869, 107081, 138500, 183784, 224794, 224817, 244740, 251008, 288327, 315001, 337539, 383960, 433586, 464270, 472388, 495119, 514382, 544470, 583393]",641532,0.15495652173913044,0.1539,0.1176
12m,peak_amp_P1_corrected,ClpB,0.0194,-0.2920374718864842,"[4749, 34967, 67809, 71171, 87629, 93591, 123543, 135951, 175461, 177094, 177726, 188523, 340559, 352752, 400434, 459267, 470664, 608006, 609691, 638574, 670376, 705359]",733857,0.15495652173913044,0.093024,0.12168
